| **Bloque**                | **Detalle**                                                                                                                                                                                                                                                   |
| ------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Propuesta de valor**    | Plataforma móvil de e-commerce lista para usar, personalizada con marca y catálogo de cada tienda. Se activa mediante una licencia de uso por tiempo determinado. Permite ventas con pago contra entrega y pasarelas locales, soporta multi-moneda (COP/USD). |
| **Segmentos de clientes** | - Dueños de tiendas físicas que quieren vender online sin invertir en desarrollo.<br>- Pequeñas y medianas empresas (PYMEs) que necesitan presencia móvil rápida y robusta.<br>- Emprendedores que quieren lanzar tienda online en pocos días.                |
| **Canales**               | - Página web oficial.<br>- Redes sociales.<br>- Embajadores comerciales / fuerza de ventas directa.<br>- Marketing digital segmentado por nicho y ubicación.                                                                                                  |
| **Relación con clientes** | - Soporte técnico y atención personalizada.<br>- Panel de administración fácil de usar.<br>- Actualizaciones periódicas incluidas en la licencia.<br>- Tutoriales y documentación.                                                                            |
| **Fuentes de ingresos**   | - Venta de licencias (mensual/anual).<br>- Tarifas adicionales por personalización avanzada.<br>- Servicios opcionales: hosting premium, marketing digital, integración logística.                                                                            |
| **Recursos clave**        | - Backend robusto (NestJS + microservicios).<br>- Infraestructura en Kubernetes + Docker.<br>- App React Native personalizable.<br>- Equipo de soporte y onboarding.<br>- Sistema de pagos integrado multi-moneda.                                            |
| **Actividades clave**     | - Desarrollo y mantenimiento de la plataforma.<br>- Implementar personalizaciones para cada cliente.<br>- Integrar pasarelas de pago y métodos de entrega.<br>- Capacitación y soporte.                                                                       |
| **Socios clave**          | - Proveedores de hosting y cloud (AWS/GCP/Azure).<br>- Pasarelas de pago (PayU, Wompi, Stripe).<br>- Empresas de logística local.<br>- Diseñadores y agencias de marketing.                                                                                   |
| **Estructura de costos**  | - Desarrollo y mantenimiento.<br>- Infraestructura en la nube.<br>- Personal de soporte.<br>- Marketing y adquisición de clientes.<br>- Licencias de herramientas y APIs externas.                                                                            |
